Date	Latitude	Longitude	City	Country	Lineage	Color	Airport
94	47.7930175	12.9950154		Austria	BA.2.86*		DOH
71	41.1338198	16.7632158		Italy	EG.5*		DOH
120	-8.7441455	115.1663723		Indonesia	LB.1*		DOH
94	5.6164609	-0.1770993		Egypt	BA.2.86*		DOH
128	41.1338198	16.7632158		Italy	BA.2.86*		DOH
71	5.6164609	-0.1770993		Egypt	BA.2.86*		DOH
67	47.7930175	12.9950154		Austria	Other		DOH
128	42.3743325	-71.0302794		United States	JN.1.18*		DOH
75	53.2716381	7.4587572		Germany	Other		DOH
58	39.47644	-87.1003925		Brazil	EG.5*		DOH
9	22.3160874	113.93647839996052		China	Other		DOH
24	39.47644	-87.1003925		Brazil	XBB*		DOH
35	-27.7853361	30.7897384		South Africa	XBB*		DOH
7	5.9572597	116.0657877		Malaysia	Other		DOH
67	12.1336618	-68.2761892		Netherlands	BA.2.86*		DOH
102	41.1338198	16.7632158		Italy	BA.2.86*		DOH
61	42.3743325	-71.0302794		United States	XBB.1.9.1*		DOH
71	13.2099268	120.6038962		Philippines	BA.2.86*		DOH
10	41.1338198	16.7632158		Italy	CH.1.1*		DOH
40	21.0862162	79.0637884		India	XBB.2.3*		DOH
115	22.3160874	113.93647839996052		China	JN.1.18*		DOH
134	24.9415476	46.7119808		Saudi Arabia	Omicron		DOH
88	55.0356373	-1.7110967		United Kingdom	BA.2.86*		DOH
111	28.2127094	83.6658884		Nepal	JN.1.18*		DOH
129	22.3160874	113.93647839996052		China	KP.3.1.1*		DOH
6	5.612243	-0.1810685		Ethiopia	CH.1.1*		DOH
95	24.8865027	67.1440768		Pakistan	BA.2.86*		DOH
129	55.0356373	-1.7110967		United Kingdom	KP.3*		DOH
111	53.2716381	7.4587572		Germany	BA.2.86*		DOH
71	41.1338198	16.7632158		Italy	Omicron		DOH
5	53.2716381	7.4587572		Germany	Other		DOH
60	22.3160874	113.93647839996052		China	XBB.1.9.2*		DOH
78	35.7626211	10.7545542		Tunisia	BA.2.86*		DOH
56	13.2099268	120.6038962		Philippines	XBB.2.3*		DOH
46	42.3743325	-71.0302794		United States	XBB*		DOH
113	11.553518650000001	104.8444244551626		Cambodia	BA.2.86*		DOH
122	13.2099268	120.6038962		Philippines	BA.2.86*		DOH
15	33.9920437	-96.9158396		Lebanon	Other		DOH
56	47.3285764	-106.95163804366535		Jordan	XBB.2.3*		DOH
