Date	Latitude	Longitude	City	Country	Lineage	Color	Airport
138	41.1338198	16.7632158		Italy	EG.5*	76227F	DOH
139	41.1338198	16.7632158		Italy	XBB*	04329B	DOH
140	4.1898549	73.5271565		Maldives	EG.5*	76227F	DOH
141	-27.7853361	30.7897384		South Africa	XBB*	04329B	DOH
142	41.1338198	16.7632158		Italy	EG.5*	76227F	DOH
143	28.2127094	83.6658884		Nepal	XBB.1.16*	9B0E0E	DOH
144	13.2099268	120.6038962		Philippines	XBB.2.3*	035F66	DOH
145	28.2127094	83.6658884		Nepal	XBB.1.9.1*	84034F	DOH
146	-27.7853361	30.7897384		South Africa	XBB.1.9.1*	84034F	DOH
147	59.8143342	30.32107		Russia	XBB.1.16*	9B0E0E	DOH
148	49.0079	-2.5508		France	XBB.2.3*	035F66	DOH
149	41.1338198	16.7632158		Italy	XBB*	04329B	DOH
150	28.2127094	83.6658884		Nepal	XBB*	04329B	DOH
151	-17.9176704	31.09878714078309		Zimbabwe	XBB.2.3*	035F66	DOH
152	21.0862162	79.0637884		India	XBB*	04329B	DOH
153	21.0862162	79.0637884		India	EG.5*	76227F	DOH
154	22.3160874	113.93647839996052		China	EG.5*	76227F	DOH
155	22.3160874	113.93647839996052		China	XBB*	04329B	DOH
156	33.9920437	-96.9158396		Lebanon	XBB.1.9.2*	76750F	DOH
157	5.6164609	-0.1770993		Egypt	XBB.1.9.1*	84034F	DOH
158	47.3285764	-106.95163804366535		Jordan	XBB.1.9.1*	84034F	DOH
159	41.1338198	16.7632158		Italy	XBB.2.3*	035F66	DOH
160	-8.7441455	115.1663723		Indonesia	XBB.1.9.1*	84034F	DOH
161	0.0442028	32.4579692		Uganda	EG.5*	76227F	DOH
162	0.0442028	32.4579692		Uganda	XBB*	04329B	DOH
163	47.3285764	-106.95163804366535		Jordan	XBB*	04329B	DOH
164	24.9415476	46.7119808		Saudi Arabia	EG.5*	76227F	DOH
165	41.1338198	16.7632158		Italy	XBB.1.9.2*	76750F	DOH
166	41.1338198	16.7632158		Italy	XBB.1.9.1*	84034F	DOH
167	-27.3856545	153.1184918		Australia	EG.5*	76227F	DOH
168	41.1338198	16.7632158		Italy	XBB*	04329B	DOH
169	41.1338198	16.7632158		Italy	EG.5*	76227F	DOH
170	39.6091229	19.9144855		Greece	XBB*	04329B	DOH
171	41.1338198	16.7632158		Italy	XBB.1.5*	2B7A6B	DOH
172	39.6091229	19.9144855		Greece	EG.5*	76227F	DOH
173	24.9415476	46.7119808		Saudi Arabia	XBB.1.9.1*	84034F	DOH
174	55.0356373	-1.7110967		United Kingdom	EG.5*	76227F	DOH
175	47.3285764	-106.95163804366535		Jordan	XBB.2.3*	035F66	DOH
176	46.7985624	8.2319736		Switzerland	XBB*	04329B	DOH
177	15.9266657	107.9650855		Vietnam	EG.5*	76227F	DOH
178	15.9266657	107.9650855		Vietnam	XBB.1.9.1*	84034F	DOH
179	15.9266657	107.9650855		Vietnam	XBB.1.9.2*	76750F	DOH
180	46.7985624	8.2319736		Switzerland	EG.5*	76227F	DOH
181	46.7985624	8.2319736		Switzerland	XBB.1.9.1*	84034F	DOH
182	15.9266657	107.9650855		Vietnam	XBB*	04329B	DOH
183	13.2099268	120.6038962		Philippines	XBB.2.3*	035F66	DOH
184	55.0356373	-1.7110967		United Kingdom	XBB*	04329B	DOH
185	52.215933	19.134422		Poland	EG.5*	76227F	DOH
186	52.215933	19.134422		Poland	XBB.1.9.1*	84034F	DOH
187	52.215933	19.134422		Poland	XBB*	04329B	DOH
188	39.47644	-87.1003925		Brazil	EG.5*	76227F	DOH
189	53.2716381	7.4587572		Germany	XBB.2.3*	035F66	DOH
190	39.47644	-87.1003925		Brazil	XBB.1.9.2*	76750F	DOH
191	39.47644	-87.1003925		Brazil	XBB*	04329B	DOH
192	42.3743325	-71.0302794		United States	XBB.1.9.1*	84034F	DOH
193	42.3743325	-71.0302794		United States	XBB*	04329B	DOH
194	41.1338198	16.7632158		Italy	EG.5*	76227F	DOH
195	22.3160874	113.93647839996052		China	XBB.1.9.2*	76750F	DOH
196	13.2099268	120.6038962		Philippines	XBB*	04329B	DOH
197	13.2099268	120.6038962		Philippines	XBB.2.3*	035F66	DOH
198	38.9637	35.2433		Turkey	XBB*	04329B	DOH
199	22.3160874	113.93647839996052		China	EG.5*	76227F	DOH
200	42.3743325	-71.0302794		United States	XBB.1.9.1*	84034F	DOH
201	24.9415476	46.7119808		Saudi Arabia	BA.2.86*	5344AA	DOH
202	24.9415476	46.7119808		Saudi Arabia	Omicron	2a6291	DOH
203	42.3743325	-71.0302794		United States	Omicron	2a6291	DOH
204	-8.7441455	115.1663723		Indonesia	BA.2.86*	5344AA	DOH
