Date	Latitude	Longitude	City	Country	Lineage	Color	Airport
56	46.7985624	8.2319736		Switzerland	XBB.1.9.1*	84034F	DOH
133	9.0067224	7.2723697		Nigeria	BA.2.86*	5344AA	DOH
102	47.7930175	12.9950154		Austria	BA.2.86*	5344AA	DOH
87	5.9572597	116.0657877		Malaysia	Omicron	CB5C19	DOH
110	50.63575965	5.426222477561027		Belgium	BA.2.86*	5344AA	DOH
65	-27.7853361	30.7897384		South Africa	BA.2.86*	5344AA	DOH
72	24.9415476	46.7119808		Saudi Arabia	EG.5*	76227F	DOH
125	-0.0869947	34.7383296		Kenya	BA.2.86*	5344AA	DOH
107	4.3130528	-52.1335736070748		France	Omicron	CB5C19	DOH
70	30.9496969	-91.5824929		Angola	Omicron	CB5C19	DOH
100	22.3160874	113.93647839996052		China	BA.2.86*	5344AA	DOH
101	-27.7853361	30.7897384		South Africa	BA.2.86*	5344AA	DOH
8	36.5920226	-93.6640013		Turkey	Other	E06666	DOH
82	59.8143342	30.32107		Russian Federation	BA.2.86*	5344AA	DOH
116	42.3743325	-71.0302794		United States	KP.2*	674EA7	DOH
112	-27.3856545	153.1184918		Australia	BA.2.86*	5344AA	DOH
107	5.6533152	-0.2527234		Ghana	BA.2.86*	5344AA	DOH
54	47.3285764	-106.95163804366535		Jordan	Other	E06666	DOH
129	47.3285764	-106.95163804366535		Jordan	BA.2.86*	5344AA	DOH
101	21.0862162	79.0637884		India	Other	E06666	DOH
60	13.2099268	120.6038962		Philippines	Other	E06666	DOH
67	34.86793	48.5428723		Iran	BA.2.86*	5344AA	DOH
128	47.3285764	-106.95163804366535		Jordan	BA.2.86*	5344AA	DOH
44	33.9920437	-96.9158396		Lebanon	XBB.1.16*	9B0E0E	DOH
51	33.9920437	-96.9158396		Lebanon	XBB.1.9.2*	76750F	DOH
123	4.3130528	-52.1335736070748		France	JN.1.18*	B8AF37	DOH
128	24.9415476	46.7119808		Saudi Arabia	Omicron	CB5C19	DOH
24	39.47644	-87.1003925		Brazil	XBB.1.5*	2B7A6B	DOH
117	-6.5247123	35.7878438		Tanzania, United Republic of	KP.2*	674EA7	DOH
54	46.7985624	8.2319736		Switzerland	Other	E06666	DOH
87	22.3160874	113.93647839996052		China	BA.2.86*	5344AA	DOH
